hebben	krijgen	verduren	1978	1
hebben	krijgen	zenden	1924	1
hebben	kunnen	aan_zien	1906	1
hebben	kunnen	achterhalen	1992	1
hebben	kunnen	af_leren	1842	1
hebben	kunnen	af_maken	1935	1
hebben	kunnen	af_werken	1971	1
hebben	kunnen	af_werken	1981	1
hebben	kunnen	bedonderen	1964	1
hebben	kunnen	begrijpen	1905	1
hebben	kunnen	begrijpen	1972	1
hebben	kunnen	behandelen	1959	1
hebben	kunnen	behouden	1874	1
hebben	kunnen	beleven	1972	1
hebben	kunnen	beoordelen	1837	1
hebben	kunnen	bereiken	1891	1
hebben	kunnen	beroepen	1937	1
hebben	kunnen	besparen	1842	1
hebben	kunnen	bespeuren	1880	1
hebben	kunnen	bespringen	1959	1
hebben	kunnen	bestuderen	1943	1
hebben	kunnen	bevorderen	1951	1
hebben	kunnen	bewerken	1857	1
hebben	kunnen	bewerken	1951	1
hebben	kunnen	bewijzen	1857	1
hebben	kunnen	bewonderen	1907	1
hebben	kunnen	bewonderen	1956	1
hebben	kunnen	bezwijken	1972	1
hebben	kunnen	bieden	1978	1
hebben	kunnen	bij_wonen	1846	1
hebben	kunnen	blijven	1890	1
hebben	kunnen	bouwen	1978	1
hebben	kunnen	breken	1880	1
hebben	kunnen	brengen	1935	1
hebben	kunnen	brengen	1937	1
hebben	kunnen	definieeren	1919	1
hebben	kunnen	denken	1888	1
hebben	kunnen	denken	1922	1
hebben	kunnen	dienen	1934	1
hebben	kunnen	doen	1841	1
hebben	kunnen	doen	1937	1
hebben	kunnen	doen	1949	1
hebben	kunnen	doen	1954	1
hebben	kunnen	doen	1979	1
hebben	kunnen	doen	1999	1
hebben	kunnen	dragen	1955	1
hebben	kunnen	dromen	1949	1
hebben	kunnen	gaan	1871	1
hebben	kunnen	gaan	1912	1
hebben	kunnen	handelen	1918	1
hebben	kunnen	handhaven	1999	1
hebben	kunnen	hebben	1880	1
hebben	kunnen	helpen	1926	2
hebben	kunnen	herschrijven	1971	1
hebben	kunnen	heten	1895	1
hebben	kunnen	houden	1911	1
hebben	kunnen	houden	1972	1
hebben	kunnen	in_storten	1841	1
hebben	kunnen	komen	1982	1
hebben	kunnen	kopen	1963	1
hebben	kunnen	kopen	1978	1
hebben	kunnen	krijgen	1917	1
hebben	kunnen	krijgen	1930	1
hebben	kunnen	krijgen	1995	1
hebben	kunnen	kweken	1841	1
hebben	kunnen	laten	1959	1
hebben	kunnen	leiden	1946	1
hebben	kunnen	leren	1999	1
hebben	kunnen	lezen	1903	1
hebben	kunnen	lezen	1907	1
hebben	kunnen	lezen	1950	1
hebben	kunnen	lezen	1997	1
hebben	kunnen	lief_hebben	1841	1
hebben	kunnen	liggen	1918	1
hebben	kunnen	liggen	1997	1
hebben	kunnen	los_maken	1905	1
hebben	kunnen	maken	1919	1
hebben	kunnen	maken	1957	1
hebben	kunnen	mee_geven	1954	1
hebben	kunnen	menen	1922	1
hebben	kunnen	missen	1933	1
hebben	kunnen	na_gaan	1982	1
hebben	kunnen	naderen	1937	1
hebben	kunnen	nemen	1909	1
hebben	kunnen	nemen	1926	1
hebben	kunnen	ondernemen	1869	1
hebben	kunnen	ondervinden	1956	1
hebben	kunnen	ondervragen	1909	1
hebben	kunnen	onthouden	1888	1
hebben	kunnen	ontkomen	1896	1
hebben	kunnen	op_bloeien	1936	1
hebben	kunnen	op_brengen	1951	1
hebben	kunnen	op_nemen	1912	1
hebben	kunnen	op_sporen	1896	2
hebben	kunnen	op_tillen	1905	1
hebben	kunnen	op_treden	1939	1
hebben	kunnen	op_zwepen	1895	1
hebben	kunnen	over_ijlen	1837	1
hebben	kunnen	overbruggen	1922	1
hebben	kunnen	overtuigen	1891	1
