verb1,year,frequency
aan_tonen,1869,2
aan_tonen,1871,1
aan_tonen,1874,1
aan_tonen,1875,1
aan_tonen,1888,1
aan_tonen,1890,1
aan_tonen,1895,3
aan_tonen,1905,2
aan_tonen,1909,1
aan_tonen,1913,3
aan_tonen,1924,1
aan_tonen,1925,1
aan_tonen,1938,1
aan_tonen,1947,1
aan_tonen,1957,1
aan_tonen,1968,1
aan_tonen,1970,1
aan_tonen,1979,3
aan_tonen,1980,1
aan_tonen,1982,1
aan_tonen,1999,1
aan_treden,1977,1
aan_treffen,1839,1
aan_treffen,1842,3
aan_treffen,1857,2
aan_treffen,1871,1
aan_treffen,1875,1
aan_treffen,1880,1
aan_treffen,1890,3
aan_treffen,1894,1
aan_treffen,1896,1
aan_treffen,1902,1
aan_treffen,1911,1
aan_treffen,1917,1
aan_treffen,1922,1
aan_treffen,1934,2
aan_treffen,1935,1
aan_treffen,1936,1
aan_treffen,1939,1
aan_treffen,1946,3
aan_treffen,1948,1
aan_treffen,1950,1
aan_treffen,1951,1
aan_treffen,1954,1
aan_treffen,1959,3
aan_treffen,1963,1
aan_treffen,1964,1
aan_treffen,1975,2
aan_treffen,1982,1
aan_treffen,1988,2
aan_treffen,1994,2
aan_trekken,1839,1
aan_trekken,1860,1
aan_trekken,1869,1
aan_trekken,1891,1
aan_trekken,1895,1
aan_trekken,1904,1
aan_trekken,1905,2
aan_trekken,1906,1
aan_trekken,1910,1
aan_trekken,1919,1
aan_trekken,1924,1
aan_trekken,1935,2
aan_trekken,1946,1
aan_trekken,1954,1
aan_trekken,1970,1
aan_trekken,1971,1
aan_trekken,1972,1
aan_trekken,1980,1
aan_trekken,1981,1
aan_trekken,1985,1
aan_trekken,1992,1
aan_vallen,1860,1
aan_vallen,1874,1
aan_vallen,1890,2
aan_vallen,1939,1
aan_vallen,1956,2
aan_vallen,1961,1
aan_vallen,1971,2
aan_vallen,1978,1
aan_vallen,1992,2
aan_vangen,1857,1
aan_vangen,1875,1
aan_vangen,1892,2
aan_vangen,1902,1
aan_vangen,1905,1
aan_vangen,1911,1
aan_vangen,1917,1
aan_vangen,1940,2
aan_vangen,1945,1
aan_vangen,1956,1
aan_vangen,1976,2
aan_vangen,1980,1
aan_vangen,1987,1
aan_vangen,1989,1
aan_vatten,1959,1
aan_vatten,1973,1
aan_vegen,1895,1
aan_voelen,1905,1
aan_voelen,1978,1
aan_voelen,1991,1
aan_voeren,1841,1
aan_voeren,1846,1
aan_voeren,1871,2
aan_voeren,1880,1
aan_voeren,1888,1
aan_voeren,1911,1
aan_voeren,1922,1
aan_voeren,1936,1
aan_voeren,1951,1
aan_voeren,1979,8
aan_voeren,1992,1
aan_vreten,1840,1
aan_vreten,1957,1
aan_vreten,1970,1
aan_vullen,1842,1
aan_vullen,1874,1
aan_vullen,1890,2
aan_vullen,1918,1
aan_vullen,1934,1
aan_vullen,1953,1
aan_vuren,1841,1
aan_wakkeren,1857,1
aan_wakkeren,1902,1
aan_wenden,1894,2
aan_wenden,1992,1
aan_wijzen,1841,2
aan_wijzen,1847,1
aan_wijzen,1857,3
aan_wijzen,1860,1
aan_wijzen,1869,1
aan_wijzen,1905,2
aan_wijzen,1906,1
aan_wijzen,1920,1
aan_wijzen,1934,1
